Model,RMSE,MAE,R2
Linear Regression,33.96061748494951,19.212769435811346,0.7928972940336505
Random Forest,28.390279908767194,15.062954135917883,0.8552648665711966
XGBoost,25.652215020350155,14.25410332885935,0.8818362241351375
