Period,Baseline_PM25,Simulated_PM25,PM25_Reduction_Pct,TPE,N_Records
Peak (Weekday Winter),141.56,128.76,9.04,0.452,10163
Off-Peak (Weekend/Monsoon),87.69,80.94,7.7,0.385,47193
